Date and time of GPS data in UTC, FileName GPS signal acquisition time
Date (mm/dd/yyyy),Time,Num Satellites,Position Uncertainty (m),Latitude (Deg N),Longitude (Deg W),Speed (kts),Heading (Deg N),Course (Deg N),Volts port,Amps port,charge (%) port,StatorTemp (C) port,PCBTep (C) port,Error Code port,Volts stbd,Amps stbd,charge (%) stbd,StatorTemp (C) stbd,PCBTep (C) stbd,Error Code stbd
01/18/2022,21:02:43.798,14,0.9,30.3526,-89.6302,-0.0458763,70.107,306.384,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:44.999,14,0.9,30.3526,-89.6302,-0.0313435,70.072,277.125,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:45.999,14,0.9,30.3526,-89.6302,-0.0291576,70.033,270,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:46.999,14,0.9,30.3526,-89.6302,-0.0320586,69.983,284.036,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:47.999,14,0.9,30.3526,-89.6302,-0.0301765,69.942,284.931,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:48.998,14,0.9,30.3526,-89.6302,-0.0318813,69.896,307.569,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:49.999,14,0.9,30.3526,-89.6302,-0.0385841,69.865,319.086,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:50.998,14,0.9,30.3526,-89.6302,-0.0413266,69.819,311.186,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:51.999,14,0.9,30.3526,-89.6302,-0.0592473,69.787,311.009,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:53.999,14,0.9,30.3526,-89.6302,-0.021992,69.758,315,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:54.999,14,0.9,30.3526,-89.6302,-0.0426317,69.726,316.848,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:55.998,14,0.9,30.3526,-89.6302,-0.0470554,69.708,321.71,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:56.999,14,0.9,30.3526,-89.6302,-0.0513188,69.685,307.304,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:57.999,14,0.9,30.3526,-89.6302,-0.0513188,69.674,307.304,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:58.999,14,0.9,30.3526,-89.6302,-0.0498245,69.667,290.556,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:02:59.999,14,0.9,30.3526,-89.6302,-0.0517587,69.666,304.287,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:00.998,14,0.9,30.3526,-89.6302,-0.0453378,69.664,300.964,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:01.999,14,0.9,30.3526,-89.6302,-0.0603843,69.654,303.178,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:03.999,15,0.9,30.3526,-89.6302,-0.0540094,69.622,300.256,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:05.198,15,0.9,30.3526,-89.6302,-0.0517587,69.613,304.287,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:05.999,15,0.9,30.3526,-89.6303,-0.0302391,69.61,315,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:07.198,15,0.8,30.3526,-89.6303,-0.013745,69.617,315,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:07.998,15,0.8,30.3526,-89.6303,0.0195354,69.62,5.71059,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:09.198,15,0.8,30.3526,-89.6303,0.0209358,69.726,338.199,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:09.998,15,0.8,30.3526,-89.6303,0.0130397,69.358,333.435,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:11.198,15,0.8,30.3526,-89.6303,-0.0261517,69.262,311.987,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:11.999,15,0.8,30.3526,-89.6303,-0.0416,69.318,322.595,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:13.999,15,0.9,30.3526,-89.6303,-0.0385841,69.194,319.086,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:15.199,15,0.9,30.3526,-89.6303,-0.037137,69.196,317.121,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:16.198,15,0.9,30.3526,-89.6303,-0.0227521,69.169,340.017,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:17.198,15,0.9,30.3526,-89.6303,-0.0270047,69.119,329.744,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:18.198,15,0.9,30.3526,-89.6303,-0.0316434,69.054,312.51,0,0,0,0,0,0,0,0,0,0,0,0
01/18/2022,21:03:19.198,15,0.9,30.3526,-89.6303,-0.0156717,69.052,330.255,0,0,0,0,0,0,0,0,0,0,0,0
